id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-146,5663,2009,-53.782922,-29.63555,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-147,4450,2009,-53.770017,-29.640732,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-148,5341,2009,-53.773006,-29.640575,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-149,6615,2009,-53.775973,-29.639462,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-150,1326,2009,-53.776691,-29.637458,6.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-151,5063,2009,-53.773347,-29.637918,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-152,5184,2009,-53.770344,-29.638366,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2009
ctb0003-sm-dnos-153,4763,2009,-53.774149,-29.6352,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-154,4244,2009,-53.770128,-29.635703,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-155,4788,2009,-53.770967,-29.633143,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-156,5472,2009,-53.775819,-29.630383,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-157,6502,2009,-53.771754,-29.630468,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-158,5364,2009,-53.772261,-29.627864,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-159,2696,2009,-53.793845,-29.641301,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-160,5332,2009,-53.795824,-29.63928,12.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-161,2981,2009,-53.792181,-29.639704,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-162,3398,2009,-53.793533,-29.637754,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-163,2765,2009,-53.791644,-29.637043,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-164,3607,2009,-53.79277,-29.634679,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
