"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-261",7.2,2009,-53.8011,-29.60458
"ctb0003-sm-dnos-262",6.97,2009,-53.798785,-29.606302
"ctb0003-sm-dnos-263",4.93,2009,-53.796683,-29.607925
"ctb0003-sm-dnos-264",5.54,2009,-53.799702,-29.608878
"ctb0003-sm-dnos-265",5.48,2009,-53.806341,-29.609803
"ctb0003-sm-dnos-266",7.5,2009,-53.806074,-29.607538
"ctb0003-sm-dnos-267",13.12,2009,-53.80544,-29.612475
"ctb0003-sm-dnos-268",1.05,2009,-53.808803,-29.627639
"ctb0003-sm-dnos-269",1.57,2009,-53.806173,-29.626229
"ctb0003-sm-dnos-270",1.59,2009,-53.804337,-29.62449
"ctb0003-sm-dnos-271",5.3,2009,-53.805212,-29.627586
"ctb0003-sm-dnos-272",1.37,2009,-53.806629,-29.628861
"ctb0003-sm-dnos-273",3.7,2009,-53.805395,-29.630352
"ctb0003-sm-dnos-274",3.52,2009,-53.808268,-29.629849
"ctb0003-sm-dnos-275",1.88,2009,-53.807248,-29.632673
"ctb0003-sm-dnos-276",2.31,2009,-53.805602,-29.633343
"ctb0003-sm-dnos-277",3.73,2009,-53.811908,-29.628733
"ctb0003-sm-dnos-278",3.93,2009,-53.807237,-29.638006
"ctb0003-sm-dnos-279",1.64,2009,-53.805625,-29.640199
"ctb0003-sm-dnos-280",1.64,2009,-53.799526,-29.640821
"ctb0003-sm-dnos-281",1.91,2009,-53.799216,-29.643972
"ctb0003-sm-dnos-282",4.61,2009,-53.808783,-29.62472
"ctb0003-sm-dnos-283",4.12,2009,-53.807754,-29.622186
"ctb0003-sm-dnos-284",3.45,2009,-53.810271,-29.619944
"ctb0003-sm-dnos-285",3.67,2009,-53.81328,-29.621779
"ctb0003-sm-dnos-286",1.86,2009,-53.813476,-29.624584
"ctb0003-sm-dnos-287",3.85,2009,-53.811515,-29.625887
"ctb0003-sm-dnos-288",4.15,2009,-53.793397,-29.643112
"ctb0003-sm-dnos-289",8.09,2009,-53.794785,-29.644984
"ctb0003-sm-dnos-290",2.38,2009,-53.79614,-29.64296
"ctb0003-sm-dnos-291",2.72,2009,-53.797432,-29.645902
"ctb0003-sm-dnos-292",4.03,2009,-53.805281,-29.605145
"ctb0003-sm-dnos-293",6.43,2009,-53.802114,-29.626737
"ctb0003-sm-dnos-294",5.09,2009,-53.787525,-29.625315
"ctb0003-sm-dnos-295",5.5,2009,-53.787066,-29.630181
"ctb0003-sm-dnos-296",4.79,2009,-53.785893,-29.631712
"ctb0003-sm-dnos-297",3.81,2009,-53.781947,-29.633002
"ctb0003-sm-dnos-298",3.92,2009,-53.778198,-29.633508
"ctb0003-sm-dnos-299",1.66,2009,-53.776262,-29.634397
"ctb0003-sm-dnos-300",1.88,2009,-53.779644,-29.640146
"ctb0003-sm-dnos-301",2.73,2009,-53.781591,-29.638951
"ctb0003-sm-dnos-302",2.55,2009,-53.779321,-29.636665
"ctb0003-sm-dnos-303",14.97,2009,-53.782053,-29.629925
"ctb0003-sm-dnos-304",4.38,2009,-53.781895,-29.646936
"ctb0003-sm-dnos-305",2.09,2009,-53.78165,-29.643288
"ctb0003-sm-dnos-306",1.92,2009,-53.783971,-29.641426
"ctb0003-sm-dnos-307",3.1,2009,-53.78928,-29.645178
